type	text
네이버	이때 조승우 진짜 자폐아 섭외한건 줄 알았음... 더 충격적이었던 건 이거 다음에 본 영화가 타짜였음....
네이버	조승우에게 놀랐습니다.암살과 내부자들과는전혀다른 연기세계를보고 조승우가 얼마나 대단한지 알게됬습니다.
네이버	이영화를 보면 조승우씨의 연기력이 대단함을 알 수 있다.완전 빙의된줄...
네이버	예전에 봤을땐 슬프다는생각이 안들었는데.. 다시 보니깐 완전 펑펑울었음ㅠㅠ 정말 조승우 연기쵝오~!!
네이버	초원이만 생각한 엄마, 엄마만 생각한 초원이..... 진짜 감동임... ㅠㅠ
네이버	조승우씨 넘 연기 잘하네여 ..감동이도는 영화
네이버	초원이 다리는 백만불 짜리 다리 , 몸매는 끝내줘요~ 재미와 감동을 얻어가는 영화..
네이버	난 이거 따뜻한 가족 휴먼드라마인줄 알고 밥먹으면서 봤는데 울면서 먹다가 얹쳐서 하루종일 고생했었다.슬퍼서 눈물이 나온적은 많은데 감동의 눈물은 처음 흘려봤다.억지 눈물 쏟게 하는 3류 영화랑은 차원이 다름 배우들 ...
네이버	미친 조승우 이 연기를 25살에 했다고? ㅋㅋㅋ
네이버	진짜 조승우 남자연예인으로써 좋아했는데 어릴때본 말아톤주인공인거 알고 충격먹었었다.. 진짜 장애인데려다 찍은줄알았는데 조승우였더니.. 그땐진짜 배우중에탑이라고 느껴지더라
네이버	역설적이게도 조승우가 그 어떤 무대에서 보인 연기보다도 자연스럽고 무게를 뺀 담백했던 연기가 일품이었던 순간. 이야기의 울림보다 조승우가 선보였던 압도적인 존재감이 이 영화를 채우고 달려 나간다.
네이버	조승우 짜응~♡
네이버	조승우의 펜이 되게 한 영화. 나의 한국 영화 베스트
네이버	진짜강추ㅠㅠ특히초원이의연기력이제일짱ㅈ이엿어요!
네이버	진짜 7번방 류승룡? 조승우 연기 보면 아무것도 아니다
네이버	쫄리시면 뒤지던가 하던 고니가 초원이 다리는 백만불짜리 다리 라고 외치는 초원이랑 같은 사람이라니.. 조승우 연기실력이 대단하다는걸 새삼 다시 느끼게 해준 영화
네이버	이런영화 또 없나요??  폭풍감동 ,, 보고나면 조승우에 완죤 홀릭!!
네이버	아 너무 감동적이다. 재미도 있고
네이버	드라마적 장르와 운동이라는 소재를 바탕으로 만든 한국영화 중 최고의 작품이라 봐도 무방하다. 감동,교훈을 넘어 조승우의 연기 또한 매우 인상적이였다.
네이버	감동의 비가 주룩주룩 내립니다.최고입니다 지금봐도 정말 좋은 작품입니다 조승우씨의 연기덕뿐에 더욱 몰입이 잘되더군요 최고입니다.
네이버	별이 최대 10점인게 아쉬운 영화
네이버	연기의신 조승우 쩔어쩔어
네이버	정말 감명깊었던 영화.조승우는 역시 만능의 신이다.
