,nickname,text,score,like,dislike,time,watch_movie
375,키키(myko****),"잘 만든 사랑 이야기, 특별하지도, 평범하지도 않다.",9,1,0,2017-12-31 18:32:00,0
376,한스(hans****),음.... 잔잔한 파장이 큰 영화다.,10,1,0,2017-12-30 08:26:00,0
377,big1****,평론가들이 이렇게 점수 후하게 준 영화는 오랜만이네,10,1,0,2017-12-24 22:38:00,0
378,세(ceri****),현실이라 더 슬픈 판타지..,10,1,0,2017-12-22 11:32:00,0
379,별의조각(joe1****),열렬히 사랑했다..여주인공 연기에 놀랐다,10,1,0,2017-11-28 17:27:00,0
380,한방(kurs****),헤어지고 친구가 될 수 있는 사람이 있고그럴 수 없는 사람이 있다는 거조제와 헤어지고 친구가 될 수 없었던 이유정말 진실되게 절절히 사랑했기 때문에,10,1,0,2017-11-18 23:12:00,0
381,단무지군(mank****),인트로에서 츠네오의 독백은 정말 최고..,10,1,0,2017-10-29 01:01:00,0
382,왕고(jing****),10년만에 다시봤습니다.제 나이35  남주가 마지막 우는장면에 공감했습니다.,10,1,0,2017-10-23 20:26:00,0
383,Donquixote(ques****),"30대 남자입니다..왜 이제서야 봤을까...하는 생각이 들면서 엔딩을 들으며 후기를 적네요..너무나 큰 여운이 가시지 않고 이 복잡미묘한 감정을 140자내에 다 적기엔 너무나 부족하네요..이별후 츠네오의 울음, 조제...",10,1,0,2017-10-16 23:27:00,0
384,지구별여행(nars****),담담히 풀어내서 좋았다. 그리고 여주인공 말투가 귀여웠다~,10,1,0,2017-10-13 02:14:00,0
385,기원(gij4****),"조제, 호랑이 그리고 물고기들",10,1,0,2017-09-10 22:59:00,0
386,RayPo(kdya****),흑백의 세상에서 태어난 그녀를 그는  무지개의 색으로 물들여주었다.,10,1,0,2017-08-16 22:02:00,0
387,Kevin(kevi****),영화를 감상하고도 깊은 여운이 가시질 않는 이유사랑이 뭔지 제대로 알게 해준 영화 한편기억에 오랫동안 남겨질것 같다.,10,1,0,2017-08-16 18:58:00,0
388,Ollieellie(pcha****),아름다워 명작임-  이런 영화 좋아,10,1,0,2017-08-06 20:23:00,0
389,MVP(wins****),마지막에 사토시 울때 나도 따라 울뻔..,10,1,0,2017-08-02 22:42:00,0
390,LiliMarleen(gunh****),다시 깊은 바다 속으로..,9,1,0,2017-07-30 12:29:00,0
391,포리(mwyk****),처음부터 끝까지 지독히 현실적이라 마음이 아팠다 마지막에 홀로 요리하는 조제의 모습이 특히 아리다,9,1,0,2017-07-18 18:17:00,0
392,볼빨간보배(shin****),영원할 것 같던 사랑... 변하지 않을 것이라 믿고 싶었는데... 결국 끝이 나네요. 뜨겁던 사랑이 사그라들고 현실보다 희미해져가 마치 계절이 바뀌듯 자연스러운 이별.그러나 조제에게도 또 다른 사랑이 다가가겠죠. 그...,9,1,0,2017-07-04 02:54:00,0
393,이카루스(apol****),조제: 그럴 리가 있냐...이 장면이 참 시리지만 나머진 담담해서 맑아서 좋았다.뜨거운 열정도 먹먹한 비루함도...,9,1,0,2017-06-29 10:36:00,0
