type	text
네이버	6점은 됩니다
네이버	으어 ㅠㅠ 너무 감동적임.....
네이버	아 이거 보고 존내 울었음 ㅋㅋ
네이버	ㅋㅋ 밑에분들 뭐임? 시각장애가 아니라 청각장애입니다 앜ㅋㅋ
네이버	비록 장애인이지만 노력하는 모습이 대단한 감동적인 영화이다.
네이버	시각장애인들 화이팅
네이버	시각장예인들이 소리를 지르는 장면이 감동적 이였다
네이버	물집터지도록 공안던져 보고 개돼지나보는 영화라 한놈 니미뽕이다
네이버	어디서 본 것 같지만 고딴거 필요없고 감동이다!
네이버	감동적이었습니다
네이버	참감동적이였습니다ㅠㅠ
네이버	울고싶다
네이버	상당히 감동적이애요 게다가 이게 실화라니그래도약간아쉬운점들이눈애보이내요
네이버	어제보고잤는데 가슴을 울리게하네요.ㅎㅎ
네이버	감동 감동 다만 그래도 좋은점수많이 주기는..어쨋건 감동
네이버	찡한 감동과 웃음.. 간만에 좋은 영화를 봤다!!!
네이버	굿~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~한국영화재밌어
네이버	대박대박대박대박대박대박대박대박대박대박대박대박대박대박대박대박대박대박대박
네이버	실화인줄 몰랏는데 실화라는말에 10점 주고 갑니다^^
네이버	20분보면 전개밑 결말이 다 나온다. 취지는 좋으니 7점
네이버	큰 감동이나 여운은 없다, 볼만하지만 영화에 깊은 영혼이 느껴지지 않아 아쉽다
네이버	너무너무감동적ㅠㅠ실화라그런지가슴에더와닿네요^^비방하는사람들은감정이없나보네요
네이버	가슴을울리네요ㅋㅋㅋ이런영화조아요ㅋㅋ
네이버	겉은 뻔하지만 속에서 재밌는 것을 찾을 수 있었다.
네이버	저 영화보면서 운적은 이번이 첨이네요~정말 감동적이였어요..
네이버	좋아요
네이버	가슴깊이감동이느껴지는영화
네이버	가슴속 뜨거워지는 얘기들
네이버	정재영의 사람 냄새 나는 이런 영화가 좋다!
네이버	감동적인 영화...
네이버	마지막에 서로 미안하다고 할때 많이 슬프더군요. 볼만한 영화네요 ^^
네이버	배우들의 연기도 좋았고 실화니까 더 감명깊었다.하지만 마지막에 사랑이야기...아쉽다
네이버	볼만함.
네이버	눈물이 주룩주룩
네이버	긴 러닝타임에도 불구하고, 이야기를 제대로 그려내지 못했다.
네이버	한국남자의 눈물이 아깝지않는 영화다.
네이버	대박 짱좋아
네이버	감동
네이버	tv로 재방 봤는데 감동적였어요 연기하시는 분도 대단하시고 감독님도 대단라십니다!
네이버	정말 재미도있고 감동도있고 가족들이랑 같이 봤는데 가족영화로도 추천이요!!!
네이버	굿
네이버	정재영도 웃기고 연기도 잘하고 재밌었음ㅋㅋ뻔하지만 이상하게 재밌네 야구가좋아
네이버	감동감동 ㅠㅠㅠㅠㅠ
네이버	뻔한내용 이지만 예상못한 반전,언제든 또 꼭 보고싶은 영화
네이버	이런류의영화는 너무많은게 탈.
네이버	뻔하지만 진한 감동이 있는 야구이야기
네이버	정말.. 감동적..이네요
네이버	ㅠㅠ완전슬프게봤어염
네이버	아름다운 영화한편 잘 보았습니당~
네이버	러브라인 왜 넣은건지 모르겠네요
네이버	감동적이더군요..ㅠ
