,nickname,text,score,like,dislike,time,watch_movie
79,guda****,영화구성이 어떻고 연기력이 어떻고 할꺼없이 감동적인 영화입니다.,10,0,0,2012-10-02 14:09:00,0
80,카이(heon****),뻔해도 재밌다....,9,0,0,2012-10-02 14:08:00,0
81,2060****,솔직히 뻔한데 감동적임 정재영도그렇고유선이랑 그학생들도연기너무잘해줌 하이킥이민호랑 이현우도보이고,10,0,0,2012-10-02 13:53:00,0
82,로닝(pand****),감동 ㅠㅠㅠㅠ,10,0,0,2012-10-02 13:41:00,0
83,ko2012(oh95****),볼만 했다,6,0,0,2012-10-02 13:40:00,0
84,thsa****,진짜 감동적입니다,10,0,0,2012-10-02 13:20:00,0
85,tjdg****,의지같은걸 느끼게해줌 나름감동,10,0,0,2012-10-02 13:20:00,0
86,kmsl****,다좋은데 왜 전문가 평점이 저따구야,10,0,0,2012-10-02 13:16:00,0
87,터미(lees****),쓰레기 영화는 아님니다...,10,0,0,2012-10-02 13:14:00,0
88,SJ(tlsq****),이런 야구 감독은 없을꺼다,10,0,0,2012-10-02 12:45:00,0
89,배꼽시계(djel****),좋아여!~~~~♥,10,0,0,2012-10-02 12:33:00,0
90,thwl****,감동적임,10,0,0,2012-10-02 12:32:00,0
91,shin****,감동적이네요 ㅠㅠㅠㅠ,10,0,0,2012-10-02 12:31:00,0
92,kws0****,재밌어요,10,0,0,2012-10-01 19:50:00,0
93,sacr****,재밌네요,10,0,0,2012-09-30 02:24:00,0
94,wlst****,ㅅㅅ좋아요,10,0,0,2012-09-28 23:31:00,0
95,재은(lje3****),이런류의 영화가 스토리는 대충예상 짐작이가는데 재미는 있네요~별기대 안하고 봣는데 재밌었음^^감동도 상당하고,9,0,0,2012-09-27 00:53:00,0
96,Love cookie(blue****),감동적이었다.ㅠ현우 짱,10,0,0,2012-09-24 18:56:00,0
97,메롱(ha_e****),은근히 사람 울리는 맛이 있네. 역시 장은 오래 담궈도 제맛인가,8,0,0,2012-08-24 19:36:00,0
98,wkds****,굿,10,0,0,2012-08-20 21:11:00,0
99,wlgm****,정재영의 포스있는 연기ㅎㅎ 기억에 남습니다.,10,0,0,2012-08-19 16:56:00,0
100,하선하선(ghfb****),우리에게 전달하고자하는 메세지가 담겨있다..,10,0,0,2012-08-16 20:14:00,0
101,메모리(zyh3****),결말이 뻔하던말고간에 이건 사람의 마음을 웅클하게하는 영화다..,9,0,0,2012-08-04 08:43:00,0
102,마로(juyo****),감동적이고 진심이 느껴지는영화였음,10,0,0,2012-07-29 14:16:00,0
103,똥주(zeno****),최고,10,0,0,2012-07-23 20:59:00,0
104,hyun****,good,10,0,0,2012-07-17 20:09:00,0
105,kmhh****,굿!!,10,0,0,2012-07-10 13:14:00,0
106,gjin****,쓸 데 없이 거창하지 않은 소박한 감성이 좋았다. 동정심 유발하려 하지 않은 것도. 아가들도 귀엽고. 한화 힘내라...,9,0,0,2012-07-09 21:54:00,0
107,bibl****,굿!!!,10,0,0,2012-06-22 11:07:00,0
108,haa9****,감동적이고뭐라고할수없는영화인것같아요 말이아닌마음의교감을하는영화인것같아요,10,0,0,2012-06-18 09:38:00,0
109,esti****,정재영 좋음,9,0,0,2012-06-11 18:53:00,0
110,j210****,군산상고 선수들 박수쳐줄때 가장 감동했읍니다~,10,0,0,2012-05-30 22:54:00,0
111,hspj****,3번 봤는데 3번 모두 울었습니다. 정말 감동적입니다. 강추!,10,0,0,2012-05-30 21:32:00,0
112,cjnk****,최고 이말한마디면 다 끝,10,0,0,2012-05-26 05:41:00,0
113,scho****,여태 야구영화중에 최고가 아닌가싶다ㅋ,10,0,0,2012-05-09 21:58:00,0
114,dnle****,재미있었어요 보다가 눈물났음,10,0,0,2012-04-29 07:29:00,0
115,by24****,감동적이어서 좋았던 것 같아요.잘봤어요!,9,0,0,2012-04-28 21:38:00,0
116,eva0****,글러브 정말 재미있어요~,10,0,0,2012-04-16 20:36:00,0
117,kamj****,뻔하지만 착한 영화. 런닝타임은 조금 길다.,8,0,0,2012-04-15 18:01:00,0
118,furi****,오글오글오글.... 그러나 그 오글거림이 나쁘지않은 영화!!! 정재영 짱!!!!,8,0,0,2012-04-11 20:00:00,0
119,rhde****,난 눈물났음.. ㅠㅠ,10,0,0,2012-04-11 18:55:00,0
120,jiey****,재밋어요!감동도 잇구,9,0,0,2012-03-28 17:31:00,0
121,holy****,언제나 독특한 정재영씨의 또박또박 발음대사.. 중간중간 감동이 있었어요.  ~^^,8,0,0,2012-03-26 04:04:00,0
122,holl****,퍼펙트게임하고 너무 비교되네..,7,0,0,2012-03-24 23:58:00,0
123,ho44****,이거보고진심감동먹었다.......어떤장면에서는눈물도맺히고재미도잇고,10,0,0,2012-03-22 23:05:00,0
124,dada****,마음이 짠하네요..경기를위해 뛰고 연습하는 선수들의 마음이 잘 담겨있습니다.^^,10,0,0,2012-03-21 08:49:00,0
125,jskg****,감동적인 영화 조금은 억지스러운부분도있지만 충분히 재미있는영화,8,0,0,2012-03-20 03:34:00,0
126,lina****,대박 감동있음,10,0,0,2012-03-15 20:58:00,0
127,0817****,짱,10,0,0,2012-03-11 22:22:00,0
128,june****,정말재밌었다 말이 필요 없다,10,0,0,2012-03-10 23:32:00,0
129,pock****,노력.... 그리고라는 소재. 감동은 있지만 뭔가 전하려고 하는지 애매하다...,6,0,0,2012-03-04 16:19:00,0
130,bren****,찡~~~~~해,10,0,0,2012-03-03 07:37:00,0
131,cale****,굿,10,0,0,2012-03-02 17:37:00,0
132,b3h1****,되게 재밌게 본거 같아요. 감동적이였고,10,0,0,2012-03-01 15:33:00,0
133,baca****,너무 감동적이게 가족들하고 봣어요 ㅎㅎ ^^,10,0,0,2012-02-29 23:49:00,0
134,harr****,청각장애인들 불상하다,10,0,0,2012-02-24 17:16:00,0
135,3029****,감동적이었다. 무언가가 울컥하는 느낌,10,0,0,2012-02-23 13:23:00,0
136,bong****,좋으다,10,0,0,2012-02-23 10:06:00,0
137,gkax****,감동적인 작품입니다,10,0,0,2012-02-22 23:58:00,0
138,sbe0****,이거보고 아무 느낌 없다그러면 사람감정이 있는거맞나 싶을정도.. 너무 좋았습니다,10,0,0,2012-02-22 23:03:00,0
139,ahts****,배역이 좋았듬,10,0,0,2012-02-22 19:32:00,0
140,sm86****,완전감동이었음,10,0,0,2012-02-20 08:18:00,0
141,sean****,감동~,10,0,0,2012-02-19 17:50:00,0
142,hjsp****,느낌이 통했네! 시기가 안맞아서 그렇지 좋은 작품이네요! 밟아줘라! 무시하는것보다 그게 좋다!,9,0,0,2012-02-19 17:46:00,0
143,ghwn****,감동이 별로 없었음.감동이 없으므로 여운도 없었다.,6,0,0,2012-02-19 16:39:00,0
144,chac****,감동적입니다 ㅠㅠ 눈물이 쓰나미처럼 쏟아져나왔네요.,10,0,0,2012-02-18 21:53:00,0
145,k061****,정말 가슴이 따듯해지는 영화.,10,0,0,2012-02-17 00:26:00,0
146,tlsw****,nalay18님  이상하네 그것때문에 평점을 3점 주고 ?,10,0,0,2012-02-15 19:28:00,0
147,chlw****,감동적이에요 잘 봤습니다^^ ㅠ,10,0,0,2012-02-15 17:52:00,0
148,dpep****,보는 내내 눈물이 멈추질 않았습니다. 너무 감동적입니다 . ㅠㅠㅠ,10,0,0,2012-02-15 17:41:00,0
149,whee****,"뜻있고, 좋은 감동, 하지만, 너무 흔한,",7,0,0,2012-02-15 17:39:00,0
150,jang****,이런 영화 취향아닌데 뜯있고 좋네요,9,0,0,2012-02-15 17:05:00,0
151,mava****,상투적인 내용일지 몰라도 정말 푹 빠져서 재미있게 봤습니다.,10,0,0,2012-02-13 16:51:00,0
152,dhl7****,오랜만에 참 감동적인영화 즐겁게 봤네요..,10,0,0,2012-02-13 03:41:00,0
153,tkvk****,"감동, 감동, 감동, 또 감동 했습니다...^^ !",10,0,0,2012-02-12 18:31:00,0
154,rhkd****,채널을 돌리다 무심코 봤던~밥먹는거 마저 잊게만드는 흡입력 그리고 감동 다들 한번쯤 꼭 봤으면,10,0,0,2012-02-12 16:23:00,0
155,wirl****,"상영시간은 길지만, 감동도 있고 재미도 있었어요~",10,0,0,2012-02-12 16:20:00,0
156,qudw****,정말감동적입니다,10,0,0,2012-02-12 10:54:00,0
157,kyes****,"정말감동적이네여,,ㅠㅠ",9,0,0,2012-02-12 00:37:00,0
158,mapa****,뻔하지만 그래도 먹먹한 감동 ㅠㅠ,8,0,0,2012-02-11 00:16:00,0
159,dbsw****,상투적인 내용의 연속이지만 훈훈한 감정만은 살아있다.,5,0,0,2012-02-10 18:37:00,0
160,seo_****,진짜 추천이요!! 안보면 후회한다 생각함 감동적임,10,0,0,2012-02-09 18:55:00,0
